,Name,Image
0,Abia,//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Abia_State_Coat_of_Arms.gif/50px-Abia_State_Coat_of_Arms.gif
1,Adamawa,//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Seal_of_Adamawa_State.png/50px-Seal_of_Adamawa_State.png
2,Akwa Ibom,//upload.wikimedia.org/wikipedia/commons/thumb/4/44/The_Emblem_of_Akwa_Ibom_State.jpg/50px-The_Emblem_of_Akwa_Ibom_State.jpg
3,Anambra,//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Nigeria_-_Anambra.svg/80px-Nigeria_-_Anambra.svg.png
4,Bauchi,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/BAUCHI_state_coat.png/50px-BAUCHI_state_coat.png
5,Bayelsa,//upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Nigeria_-_Bayelsa.svg/80px-Nigeria_-_Bayelsa.svg.png
6,Benue,//upload.wikimedia.org/wikipedia/commons/thumb/6/62/Seal_of_Benue_State.png/50px-Seal_of_Benue_State.png
7,Borno,//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Seal_of_Borno_State.png/50px-Seal_of_Borno_State.png
8,Cross River,//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Coat_of_arms_state_Cross_River.jpg/50px-Coat_of_arms_state_Cross_River.jpg
9,Delta,//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Nigeria_-_Delta.svg/80px-Nigeria_-_Delta.svg.png
10,Ebonyi,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Seal_of_Ebonyi_State.png/50px-Seal_of_Ebonyi_State.png
11,Edo,//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Seal_of_Edo_State.png/50px-Seal_of_Edo_State.png
12,Ekiti,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Nigeria_-_Ekiti.svg/80px-Nigeria_-_Ekiti.svg.png
13,Enugu,//upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Enugu_state_Coat_of_Arms.jpg/50px-Enugu_state_Coat_of_Arms.jpg
14,Federal Capital Territory,//upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Nigeria_Federal_Capital_Territory_map.png/80px-Nigeria_Federal_Capital_Territory_map.png
15,Gombe,//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Nigeria_-_Gombe.svg/80px-Nigeria_-_Gombe.svg.png
16,Imo,//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Seal_2014-06-25_00-44.jpg/50px-Seal_2014-06-25_00-44.jpg
17,Jigawa,//upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Coats_of_arms_of_None.svg/50px-Coats_of_arms_of_None.svg.png
18,Kaduna,//upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Nigeria_-_Kaduna.svg/80px-Nigeria_-_Kaduna.svg.png
19,Kano,//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Seal_of_Kano.png/50px-Seal_of_Kano.png
20,Katsina,//upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Nigeria_-_Katsina.svg/80px-Nigeria_-_Katsina.svg.png
21,Kebbi,//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Seal_of_Kebbi_State.png/50px-Seal_of_Kebbi_State.png
22,Kogi,//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Nigeria_-_Kogi.svg/80px-Nigeria_-_Kogi.svg.png
23,Kwara,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Nigeria_-_Kwara.svg/80px-Nigeria_-_Kwara.svg.png
24,Lagos,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Lagos_Seal.png/50px-Lagos_Seal.png
25,Nasarawa,//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Seal_of_Nasarawa_State.svg/50px-Seal_of_Nasarawa_State.svg.png
26,Niger,//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Nigeria_-_Niger.svg/80px-Nigeria_-_Niger.svg.png
27,Ogun,//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Nigeria_-_Ogun.svg/80px-Nigeria_-_Ogun.svg.png
28,Ondo,//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Seal_of_Ondo_State.png/50px-Seal_of_Ondo_State.png
29,Osun,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Nigeria_-_Osun.svg/80px-Nigeria_-_Osun.svg.png
30,Oyo,//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Oyo_State_Coat_of_Arms.png/50px-Oyo_State_Coat_of_Arms.png
31,Plateau,//upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Plateau_State_Coat_of_arms.jpg/50px-Plateau_State_Coat_of_arms.jpg
32,Rivers,//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Nigeria_-_Rivers.svg/80px-Nigeria_-_Rivers.svg.png
33,Sokoto,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Nigeria_-_Sokoto.svg/80px-Nigeria_-_Sokoto.svg.png
34,Taraba,//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Taraba_State_Coat_of_Arms.png/50px-Taraba_State_Coat_of_Arms.png
35,Yobe,//upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Yobe_State_Government.png/50px-Yobe_State_Government.png
36,Zamfara,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Seal_of_Zamfara_State_Government.jpg/50px-Seal_of_Zamfara_State_Government.jpg
