,Product Name,Price,Rating
0,"boAt 10000 mAh Power Bank (22.5 W, Quick Charge 3.0)","₹1,299","(3,775)"
1,"SAMSUNG 10000 mAh Power Bank (25 W, Fast Charging)","₹1,999",(697)
2,"Mi 3i 20000 mAh Power Bank (Fast Charging, 18W)","₹2,149","(2,53,061)"
3,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)","₹1,299","(3,38,867)"
4,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)","₹1,299","(3,38,867)"
5,"boAt 20000 mAh Power Bank (22.5 W, Quick Charge 3.0)","₹1,799","(3,916)"
6,"boAt 20000 mAh Power Bank (22.5 W, Quick Charge 3.0)","₹1,799","(3,916)"
7,"Intex 10000 mAh Power Bank (12 W, Fast Charging)",₹799,(981)
8,"boAt 10000 mAh Power Bank (22.5 W, Quick Charge 3.0)","₹1,299","(3,775)"
9,"Ambrane 10000 mAh Power Bank (12 W, Fast Charging)",₹899,"(2,83,211)"
10,"REDMI 10000 mAh Power Bank (10 W, Fast Charging)","₹1,199","(53,073)"
11,"Intex 20000 mAh Power Bank (22 W, Fast Charging)","₹1,499","(1,794)"
12,"Mi 10000 mAh Power Bank (22.5 W, Fast Charging)","₹1,699","(24,423)"
13,"Syska 20000 mAh Power Bank (18 W, Fast Charging)","₹1,549","(9,180)"
14,"Spigen 10000 mAh Wireless Power Bank (20 W, Power Deliv...","₹1,599",(209)
15,"Mi 30000 mAh Power Bank (18 W, Fast Charging, Power Del...","₹3,499","(28,973)"
16,"Intex 20000 mAh Power Bank (12 W, Fast Charging)","₹1,199","(1,531)"
17,"REDMI 20000 mAh Power Bank (18 W, Fast Charging)","₹2,049","(67,565)"
18,"Flipkart SmartBuy 20000 mAh Power Bank (22.5 W, Power D...","₹1,199",(786)
19,"Syska 20000 mAh Power Bank (18 W, Fast Charging)","₹1,549","(8,340)"
20,"Intex 10000 mAh Power Bank (22 W, Fast Charging)",₹899,"(1,794)"
21,"Ambrane 10000 mAh Power Bank (22.5 W, Power Delivery 3....","₹1,599",(764)
22,"AMYTEL 20000 mAh Power Bank (25 W, Fast Charging, Quick...",₹899,(9)
23,"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, P...","₹1,179","(61,750)"
24,"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, P...","₹1,179","(61,750)"
25,"REDMI 20000 mAh Power Bank (18 W, Fast Charging)","₹2,049","(67,565)"
26,"CAPONICS 10000 mAh Power Bank (22.5 W, Power Delivery 3...",₹973,(101)
27,TEMPT 10000 mAh Power Bank,₹999,
28,"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, P...","₹1,179","(61,750)"
29,"Ambrane 10000 mAh Power Bank (12 W, Fast Charging)",₹899,"(2,83,211)"
30,Vwalk 20000 mAh Power Bank,"₹1,999",(334)
31,Ambrane 10000 mAh Wireless Power Bank,"₹2,299","(3,445)"
32,nwb 30000 mAh Power Bank,₹499,(784)
33,"Ambrane 20000 mAh Power Bank (20 W, Quick Charge 3.0, P...","₹1,799","(38,643)"
34,"Ambrane 20000 mAh Power Bank (20 W, Quick Charge 3.0, P...","₹1,799","(38,643)"
35,"Ambrane 20000 mAh Power Bank (20 W, Quick Charge 3.0, P...","₹1,799","(38,643)"
36,"Ambrane 20000 mAh Power Bank (20 W, Power Delivery 3.0,...","₹1,999","(26,105)"
37,"Ambrane 20000 mAh Power Bank (20 W, Power Delivery 3.0,...","₹1,999","(26,105)"
38,"Callmate 10000 mAh Power Bank (15 W, Fast Charging)","₹1,299",(299)
39,"Intex 10000 mAh Power Bank (22 W, Fast Charging, Quick ...",₹899,"(1,794)"
